Date,Sales
2024-01-01,40
2024-01-02,96
2024-01-03,134
2024-01-04,157
2024-01-05,198
2024-01-06,232
2024-01-07,290
2024-01-08,314
2024-01-09,354
2024-01-10,399
2024-01-11,433
2024-01-12,471
2024-01-13,514
2024-01-14,554
2024-01-15,594
2024-01-16,645
2024-01-17,691
2024-01-18,740
2024-01-19,771
2024-01-20,791
2024-01-21,828
2024-01-22,880
2024-01-23,907
2024-01-24,953
2024-01-25,1011
2024-01-26,1069
2024-01-27,1093
2024-01-28,1145
2024-01-29,1176
2024-01-30,1200
2024-01-31,1238
2024-02-01,1267
2024-02-02,1299
2024-02-03,1353
2024-02-04,1410
2024-02-05,1433
2024-02-06,1491
2024-02-07,1549
2024-02-08,1603
2024-02-09,1661
2024-02-10,1691
2024-02-11,1733
2024-02-12,1763
2024-02-13,1796
2024-02-14,1842
2024-02-15,1872
2024-02-16,1919
2024-02-17,1943
2024-02-18,1977
2024-02-19,2030
2024-02-20,2054
2024-02-21,2100
2024-02-22,2138
2024-02-23,2169
2024-02-24,2192
2024-02-25,2214
2024-02-26,2251
2024-02-27,2282
2024-02-28,2328
2024-02-29,2364
2024-03-01,2402
2024-03-02,2444
2024-03-03,2502
2024-03-04,2561
2024-03-05,2616
2024-03-06,2637
2024-03-07,2692
2024-03-08,2719
2024-03-09,2755
2024-03-10,2807
2024-03-11,2837
2024-03-12,2878
2024-03-13,2924
2024-03-14,2944
2024-03-15,2991
2024-03-16,3021
2024-03-17,3062
2024-03-18,3083
2024-03-19,3113
2024-03-20,3171
2024-03-21,3220
2024-03-22,3249
2024-03-23,3301
2024-03-24,3359
2024-03-25,3382
2024-03-26,3420
2024-03-27,3450
2024-03-28,3473
2024-03-29,3532
2024-03-30,3590
2024-03-31,3618
2024-04-01,3654
2024-04-02,3696
2024-04-03,3727
2024-04-04,3751
2024-04-05,3802
2024-04-06,3859
2024-04-07,3904
2024-04-08,3932
2024-04-09,3983
2024-04-10,4006
2024-04-11,4035
2024-04-12,4067
2024-04-13,4105
2024-04-14,4139
2024-04-15,4161
2024-04-16,4198
2024-04-17,4244
2024-04-18,4291
2024-04-19,4323
2024-04-20,4371
2024-04-21,4407
2024-04-22,4454
2024-04-23,4506
2024-04-24,4558
2024-04-25,4585
2024-04-26,4629
2024-04-27,4650
2024-04-28,4678
2024-04-29,4703
